Comment,Sentiment
That was a fucking barn burner! Glad to see 44 doing good things. Misa is starting to look legit. Top line is ridiculous. Love these guys,positive
I‚Äôm sold. Sign Sherwood to the extension now. Dudes a gamer and he‚Äôll be a huge part of this teams success!,positive
"Celebrini is on pace for 121 pts, second to only Gretzky for most pts in a season under 20! That's actually insane. ",positive
I love how much mack hates the cameras and microphones lol,neutral
Im glad we got it done and asky clutched up at the end but this has to be seen:,positive
What a freaking game! So much attitude from the boys! Love to see Sherwood and Gaudette get some payback. That was one hell of a finish!,positive
Brutal game for askarov. He needs to figure out how to freeze the puck. The missed opportunities to stop and reset in the 6 on 5 really made this game harder than it needed to be.,negative
"dang, 4 pt performance by celebrini",positive
Great quote by Sherwood lol,neutral
Did Mack have 4 points??,positive
Macklin Celebrini is now in 7th for single season points,positive
Sherwood gonna sign an extension after this game. This is the one that made him realize that he wants to be here for the long run,neutral
"KEIFER FUCKING SHERWOOD, EVERYBODY!!  IT WAS ONLY A MATTER OF TIME! WHAT A GAME BY GRILLMACK!!",positive
Big saves from Asky at the end there!,positive
4 point night for Macklin!,positive
Nice little 4pt game for Mack too,positive
Call him Hockey Gaud,positive
Why did Macklin pass that lmao. Scared me to death,neutral
Celebrini rewarding the effort there just makes me so happy ,positive
THANK YOU ASKAROV MY GGGG,positive
Fucking celebrini made that,positive
macklin is the ultimate teammate. was faking it to pass to gaudette all the way,positive
That is 4 points for the captain macklin celebrini,positive
They could have put Eky in there for that free EN,neutral
4 POINTER FOR THE MACK,positive
thank gaudette!,positive
Let‚Äôs go! Where are the Sherwood haters now,positive
TALK YOUR SHIT SHERWOOD,positive
Nice guy celebrini.,positive
Having Gauds with the empty netter is a kick in the nuts to Habs fans lol,neutral
Gaudette deserved that,positive
Smart pass. Classy assist by Mack. ,positive
"YESSS ANOTHER POINT FOR MACKLIN CELEBRINI, THE SELFLESS TEENAGER",positive
THANK YOU MACK,positive
HOLY SHITTTTT CELEBRINI AND GAUDETTE WITH THE BREAKAWAY,positive
Gaudette deserved that and Celebrini knew it,positive
Barclay with the Kong arms on the bench. Fuck yeah,positive
BASED GAUD,positive
Good guy Celebrini!,positive
That Desharnais penalty was fucking stupid,negative
Jesus Christ Asky,negative
Askarov stay in the fucking net,negative
"Fucking Desharnais man, blew the fucking game",negative
Askyís gotta have that,negative
Askarov beat high glove again,negative
WILL MF SMITH,positive
Will Mack really is just inevitable,positive
SMITH GOALLLLL,positive
SMITTY!!!!!!!!,positive
LFG SMITTY,positive
free ferraro he actually didn't do it,neutral
Get Deharnais in Anderson's next shift,neutral
Ferraro goal incoming,neutral
Sherwood looked woozy after that hit.,neutral
Misa is criminally underrated,positive
Will Smith being normal on the bench,neutral
"Dude, Macklin looks possessed this game. Me like a lot. Have a feeling he's not done yet....",positive
Also Asky is having a hell of a game,positive
Asky literally saved us,positive
eky goal next ????,neutral
"Ahh wtf Celebrini lmfao. Well we moved up by a point on 2 of the 3 teams, namely Edmonton. Anaheim seems likely to take over the division tbh.",negative
Brutal turnovers by dickinson,negative
"Dickinson, are you kidding me?",negative
Dickinson should not have been out there. Heís been awful all night,negative
Horrible giveaways from Celebrini and Dickinson in OT,negative
Should‚Äôve been Misa Orlov and wennberg or celebrini,neutral
"Rare bad OT shift for Mack, though the first turnover i think was just miscommunication.",negative
"how about that Will Smith ""kick"" from several games back? lol these refs don't know what a kicking motion is",neutral
Big oof by Ned on contract day,negative
Sam and Mack can‚Äôt make those mistakes. ,negative
Weird game to start Dickinson in OT. He was shaky all game. ,negative
More of a kick than the will smith goal that was called back.,neutral
sam trying to make sure he never sees time in OT again,negative
RIP. It's crazy how high my expectations are from Macklin. I expect perfection from a 19 year old because of how good he's been.,neutral
"Should have put Sherwood out on that first shift, only dude who wanted it tonight",positive
"Mack is going to say that was on him, but that was Sam. Awful showing by Dickinson tonight",negative
wtf was that Mack and Sam ,negative
"Dickinson threw away the fucking game, unreal idiocy",negative
Even mack playing like crap,negative
Dickinson dude,negative
This has got to be Dickinson's worst game,negative
Can we get some of that Misa Eklund OT speed?,negative
"Ok thank god for kief. not only is this not our best game as a team, but I feel like individually so many players had truly awful games tonight lol. I‚Äôm excited for the stat card. But let‚Äôs go win it boys.",positive
Kiefer Sherwood is so fucking clutch!!!!!¬†,positive
Misa gonna make it a 4 game goal streak,positive
did toff deadass not see the puck or something,negative
"Question isn‚Äôt if Wennberg will start OT, question is will he win the FO for once?",neutral
Curious who Warso will put out. Misa probably on his second unit? ,neutral
Muk better fucking play in this 3-on-3.,neutral
"At least Toffoli won't see the ice again, my God",negative
kief first star no matter the result,positive
Misa and celebrini on the ice at the same time? Oh baby.,neutral
"Call me crazy, but don‚Äôt mind Klingbergs game tn ",positive
Another Misa OT winner please or Sammy ü§ûü§ûü§û,neutral
"Orlov is such a fucking battering ram, dude.",positive
nice punt mack,positive
Chief KIEF! he's just continuing to look better in teal,positive
Mario man cmon.....,negative
Mario with the very bad no good pass to kill the rush,negative
Klingberg and Ferraro mightíve ìdeservedî to stay past the deadline but jfc they cannot be on this team next year if we hope to do ANYTHING,negative
"Will Smith, you're officially on the LivingSale flair punishment. Please play better to be taken off of the flair.(:",negative
yall i really need smitty to lock in right now. i don't need a post game interview of warso just shitting on him,negative
NED!,positive
NED MY GOAT,positive
"Wow, Nedeljkovic!",positive
Smith was absolutely brrrrutal,negative
Smith was atrocious in the first period.,negative
smitty let's smell some salts and lock in,negative
Eklunds last 5-10% of handling on any given play is very frustrating,negative
Sam and Will having jsur awful games (along many other of course),negative
misa looks like total ass,negative
I hate to say it... but eklunds play lately has been giving me Noah gregor vibes,negative
toff looks awful again,negative
nathan having one of his worst periods in ages right now,negative
Monster shift by Misa,positive
Misa needs to be on the pp1†,positive
Klingberg will score tonight,neutral
Need to get Smith off pp1 he always turns the damn puck over.,negative
Smith so many terrible plays on that powerplay man... 2 turnovers not even close to decent passes,negative
Idiotic from Ferraro to put your team short handed after a perfectly clean hit 29 seconds into the game,negative
Klingberg canít make a decision,negative
Fuck off kurashev,negative
Holy fuck Klingberg is awful,negative
Klingberg out of position because he canít turn or skate.,negative
misa looks so solid,positive
Horrible penalty by Ostapchuk,negative
Everytime I see Dickinson heís making terrible careless mistakes. A liability,negative
Zack what was the point of that,negative
mack was due for one of those,positive
"Another Klingberg turnover, another goal conceded",negative
Klingberg ruins everything,negative
KlingbergÖ.,negative
Klingberg has gotta have dirt on someone,negative
Even by his standards this has been a fucking horrid night for Klingberg. He looks geriatric out there,negative
What was Will Smithís deal in the first period? Dude was legit lost.,negative
John ìsneaky terroristî Klingberg,negative
wenny shoot,neutral
What in the world is klingberg doing out there?,negative
Graf to Misa line and Ek to Cele line? So many better options,neutral
Kurashev Sherwood Graf is a nightmare blunt rotation,negative
"Fucking hell Mukh, stay on your damn feet.",negative
SHERWOOD U FUCKING GOAT,positive
graf looked like shit the entire game,negative
WTF ARE YOU DOING MARIO,negative
WHAT A SHOT MISA,positive
MICHAEL FUCKING MISA,positive
MISA YOU BAD MOTHER FUCKER,positive
Ned absolutely bailing us out towards the end of that game. Team was absolutely selling him out with all those odd man chances,positive
Lord blew right by Kling like he was standing still.,negative
Klingberg has no hips,negative
Could klingberg possibly be slower†,negative
Klingberg is slow as a snail†,negative
GET RID OF JOHN KLINGBERG,negative
Klingburg going in slow motion there,negative
klingberg dangle? in this economy?,positive
Tough game for wennberg,negative
poor executions there from muk,negative
Smith is ON tonight,positive
I think we'll now start seeing the real Sherwood.,neutral
macklin gotta lock in†,negative
Graf is a great PKer,positive
"Eklund could find himself alone in the slot and he'll still try and make the low percentage pass through two defenders to his linemate in the corner. He's been a bit snakebit, but he also constantly just throws away good opportunities for no reason",negative
Gotta take that shot Eklund.,negative
Why is eklund allergic to shooting?,negative
"Awful pass, Celebrini.",negative
misa and eklund got good chemistry,positive
chief kief a man of the people,positive
Have not been remotely impressed with Sherwood.,negative
Dudeeeee that was so close what a pass by Smith,positive
Sherwood really went with the good ol' rodeo move,neutral
Muk getting the puck outta the zone is beautiful with his edgework,positive
We gotta get chief kief off the 1st. He's not a 1st liner,negative
Another Sherwood penalty. I for one am shocked,negative
Kief how many damn times you gonna run into a tendy until you learn your lesson,negative
Not again.. sherwood,negative
Come on smitty,neutral
Smith on the breakaway takes a 75% attributes debuff,negative
Nice pass Sammy,positive
What the hell was Kurashev doing that PP,negative
Setting up Klingberg for shots is umm interesting,neutral
"Kurashev looking very hesitant, hope he figures it out",negative
Klingberg has the weakest one tee Iíve even seen.,negative
Eklund with back to back horrible passes. What is up with him.,negative
"Michael Misa, the man that you are.",positive
The way Misa is moving at 19 is nuts,positive
mack can you not,negative
Eky wants it so badly and so do I need this goal drought to end,neutral
Eklund just so snakebit this year.,neutral
Youíre killing me eklund,negative
so close Eky,neutral
eky you WILL get a goal,neutral
Where on earth was Kling aiming there,negative
Really hope klingberg makes quite an impression on the scouts today.,neutral
Ferraro with the extremely ineffective slide block attempt,negative
Klingberg starting off strong with another turnover,negative
lmao; the close-up on Sherwood during warm ups while they talk about how many scouts are in the building. really hope we can get some assets back,neutral
bro was that not a stick on sherwoods foot,neutral
There is no need for Ned to be handling the puck this much,negative
Sherwood makes the 1st line ineffective. Fuck this shit,negative
I love how hungry Misa is. He's just flying all around the place†,positive
"good, canít be having mario hurt before the TDL",neutral
We need Graf on the first line,neutral
"LOL ""Celebrini-like""",neutral
Sherwood continuously bobbles chances,negative
Dude Sherwood.,negative
Does Sherwood have weighted skates? Looks like a sloth out there,negative
Graf back on the first. A thing of beauty.,neutral
is that graf i spot on the top line,neutral
If Dickie gained like 10 more lbs of muscle... he'd be unstoppable,neutral
Sherwood off the Celebrini line,neutral
Graf is back on the first it looks like.,neutral
omg is sherwood finally off the top line,negative
that should silence the will smith haters,positive
Keep Orlov off the ice heís been brutal today,negative
Back on the Celebrini streak. 2 games streak currently. Letís go for 20 more babyyyy,positive
First line is clearly better with Graf,positive
Maybe stretch but how about a Smitty hat trick I mean we still got 16 on the clock,neutral
Love to see how much Dickinson is contributing offensively,positive
"Graf has some crazy potential, I have no idea what his ceiling is but his ability to learn and improve is really impressive",positive
Kief finally made a good play,positive
i love how many fucks sherwood gives,positive
"Graf realizes he doesn't have any passes Tha aren't hopes and prayers and just gets it on net, love it",positive
That was slick Eky,positive
If Eklund could ever figure out how to consistently put it in the back of the net he would be so dangerous.,neutral
i bet it takes one minute for Vinny to fall down cuz he's such a tree,neutral
celebrini must be dying to score on hellebuyck,neutral
Misa and Dickinson just created a fucking amazing opportunity. Best power play move I've seen all day,positive
Leave Misa alone,neutral
Holy fuck Klingberg canít aim for shit. Nobody is trading for him GMMG so just cut him,negative
Misaís taken a beating today. Love him going in front of the net though,neutral
Paws off Misa!,neutral
Good shit Klinger,positive
NED OMFG,positive
Wtf Klingberg,negative
toffs had some great looks this game,positive
I bet my two cats that Misa gets the ot goal... im serious,neutral
Sherwood Klingberg Ferraro OT starting 3,neutral
I swear to god if I see Klingberg or Sherwood out there at the OT....,negative
The patented Wennberg OT faceoff loss,negative
I swear Wennberg loses every faceoff to start OT.,negative
MISA YOU ABSOLUTE FUCKING LEGEND,positive
EKY IS SO BACK,positive
Ball donít fucking lie baby way to go Graf!,positive
Dickinson bouncing back very nicely in this one,positive
smitty with the eyebrow slit damn he's beautiful,neutral
Man I just saw the Misa goal. That no look behind the back pass was pure future,positive
Mukhamadullin is having a regrettable period,negative
Ned standing on his fucking head.,positive
The entire defense owes Ned a hell of a dinner,positive
Bro theyíre leaving Ned out to dry,neutral
I think ned should start the next few games.,neutral
Toff slanderers need to just pack it up and leave tbh,positive
toff heard the haters from the sabres game and decided to wake up,positive
Toffoli you beautiful man,positive
Why does Smith have sort of ìsuburban mom in 90ís movieî face?,neutral
SMITH ALMOST LOST HIS TEETH ! WEAR THAT FK MOUTHGARD,neutral
Manifesting a Smitty goal tonight in front of his fam!,neutral
Klingberg just let him score that one. I hate that he is wearing teal! I want him gone! Shit!,negative
I feel like Ned shoulda had that†,negative
ned needs to get that,negative
ugh Klingberg UGH,negative
Jesus klingberg give him more space why donít you,negative
Time for Kingberg to make his return and get hot!,neutral
Sherwood is so fucking fast,positive
